Sample	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	D.treeLikelihood
86000	-33410.57452738202	-33162.775567716715	-247.79895966530842	667.8232713070237	0.3402197392455726	65.31483069919817	32.5947734034887	48.14504942990738	1097.2795072279528	-33162.775567716715
87000	-33408.48969497353	-33161.87675016267	-246.61294481085793	727.2392440497647	0.372616312705297	62.52646338569977	32.5947734034887	48.139428845192576	1099.4061312065464	-33161.87675016267
88000	-33418.443897959674	-33168.90956549142	-249.53433246825347	618.0792892301434	0.3285312493033493	59.2801126669447	33.33203199468037	48.21474398991451	1098.8090810349177	-33168.90956549142
89000	-33409.654035584426	-33163.5658069471	-246.08822863732624	772.5321019821333	0.3867824293733567	75.65121413839977	31.801042072084567	47.91757805323175	1092.3900101748475	-33163.5658069471
90000	-33415.03889534656	-33166.35008427695	-248.6888110696055	876.2296087215236	0.4068866478446487	68.88010063608444	31.801042072084567	48.29130542449798	1078.2789984341211	-33166.35008427695
91000	-33412.61147104551	-33165.22143902585	-247.39003201965315	676.8337687760913	0.3743555119569933	75.8459632310825	31.801042072084567	48.922865670633854	1097.639113991454	-33165.22143902585
92000	-33416.45552134246	-33169.03270945663	-247.4228118858311	792.2041834742327	0.36608407648828684	70.9448576626216	31.801042072084567	48.670269388150814	1094.4958184236632	-33169.03270945663
93000	-33417.334667563235	-33168.00535699337	-249.32931056986322	572.7227604554364	0.28772073565511697	69.65522545466867	31.889194602087212	48.39606526909697	1095.1328326284547	-33168.00535699337
94000	-33405.49931186317	-33159.3999744609	-246.09933740226262	708.9862971001754	0.42309842053691726	68.24323035246093	31.889194602087212	47.77867229911213	1080.1440741986746	-33159.3999744609
95000	-33414.348731956285	-33166.73299787416	-247.61573408212243	989.9173326939658	0.40110966374556295	77.55033635123807	31.889194602087212	48.613605691414165	1103.0075861482883	-33166.73299787416
96000	-33414.45864047645	-33166.17894504502	-248.27969543142873	801.7207583862346	0.3363222909602096	69.73201699291344	29.657432828607558	47.527910768988605	1093.854507216718	-33166.17894504502
97000	-33417.23380794685	-33169.832038774955	-247.40176917190155	795.4454451013094	0.3770187298921951	62.86179227055718	30.72203896198158	47.008054868816956	1080.924983715487	-33169.832038774955
98000	-33419.81591665813	-33173.17438193974	-246.64153471839103	596.0605009828224	0.4185273803310525	65.61723767294083	32.453595893488384	47.63354166265336	1097.122449686534	-33173.17438193974
99000	-33418.009608045104	-33173.057587493975	-244.95202055112995	828.2870204077238	0.45035448326834315	65.17947393243111	32.453595893488384	47.044476566477954	1075.2710781502867	-33173.057587493975
100000	-33408.31337504586	-33161.29759874205	-247.0157763038111	639.8792849497007	0.31947181450199036	66.12532907865089	29.791993853091906	47.1435068475974	1077.324870876408	-33161.29759874205
101000	-33401.57522124303	-33153.92332768549	-247.65189355754435	486.89584476257124	0.37731294830505835	71.47259744107275	32.298686367299304	48.028176611690924	1084.7770979846869	-33153.92332768549
102000	-33414.08958674442	-33169.174777866756	-244.91480887766056	670.9145498238703	0.42537566564230134	59.50232555138141	32.298686367299304	47.84714605404771	1084.712231927911	-33169.174777866756
103000	-33410.89774144073	-33164.20639161384	-246.69134982688502	606.2327614832816	0.32028775671739557	67.90780950327485	31.051757567719182	49.025266289119536	1109.2740838130599	-33164.20639161384
104000	-33406.8975938453	-33160.54764064138	-246.3499532039224	522.3203481048047	0.35401653642852554	67.90780950327485	32.01931712358698	48.934660562581726	1106.6103200036953	-33160.54764064138
105000	-33412.748150856714	-33166.66202508631	-246.08612577039992	543.657734684347	0.5124177849631787	67.90780950327485	33.95589205383847	46.840264716809536	1076.61197501638	-33166.66202508631
106000	-33405.00179830642	-33159.44342331067	-245.5583749957414	690.4936012284223	0.4796417108451705	70.6221237929138	33.95589205383847	48.51967759551904	1102.3086818555344	-33159.44342331067
107000	-33419.86094723159	-33165.49828016836	-254.36266706323164	623.2289522765165	0.24460539194075143	68.11276660102642	30.99889843933525	47.32941676741116	1087.3909034867668	-33165.49828016836
108000	-33420.58070821248	-33170.69003033679	-249.89067787569675	549.9439628620422	0.2643382334710264	64.0211517284359	30.454372130216107	47.9398744757801	1098.0545558699016	-33170.69003033679
109000	-33416.49767775097	-33165.48540410485	-251.01227364611626	720.8026703303975	0.40250725019522604	87.62704717271781	32.44850916313191	46.01089074556298	1062.5253374500357	-33165.48540410485
110000	-33418.87869994821	-33172.04223563424	-246.8364643139699	654.1320859367687	0.3558402391567026	63.87951154640282	32.44850916313191	46.961396937784436	1089.0450236302227	-33172.04223563424
111000	-33414.254490704596	-33165.96437522049	-248.29011548411003	534.6812418731184	0.3194675670071977	74.92918637140032	31.990584235427477	49.25637500774584	1108.548632974736	-33165.96437522049
112000	-33413.827695559456	-33167.05083921208	-246.7768563473752	926.3106681228845	0.37052160930823186	68.3615914895779	31.990584235427477	49.34628936302735	1104.5058755959437	-33167.05083921208
113000	-33421.07984339665	-33171.984620570496	-249.09522282615126	494.6886127843618	0.32751861637022395	73.16952163457282	31.990584235427477	46.70306824386668	1077.0022574039965	-33171.984620570496
114000	-33410.63318575627	-33164.411629863775	-246.2215558924975	669.9203499883611	0.39667792030581667	73.27142432497811	31.990584235427477	48.023954889481246	1067.9331907718347	-33164.411629863775
115000	-33409.24916028629	-33160.715903416945	-248.5332568693377	957.1930927072798	0.3644551476027629	66.8196864931196	31.65157517383971	48.657812117741344	1092.3275689759014	-33160.715903416945
116000	-33413.58229588035	-33166.93547140675	-246.6468244735984	717.4600252010607	0.40041382770428635	66.67175816094809	31.65157517383971	48.50561343005597	1084.0195644714001	-33166.93547140675
117000	-33415.52550551541	-33165.266113839934	-250.2593916754766	1107.1027784653843	0.39160666885255807	69.17938648197055	31.65157517383971	47.74106744871443	1079.9399495870653	-33165.266113839934
118000	-33407.50688589668	-33160.801484595555	-246.7054013011253	940.2194239611724	0.3688824343204158	68.46808676778117	31.15590519919824	48.351588172990915	1094.5230390147576	-33160.801484595555
119000	-33415.941125878766	-33169.237064123845	-246.7040617549211	1106.874528967717	0.42777503116845733	67.82293854147142	31.15590519919824	48.3845191356975	1091.3301000334525	-33169.237064123845
120000	-33421.13022240885	-33173.87517035049	-247.2550520583634	591.0516258512798	0.36780752282159695	58.516711075439616	32.259122239691905	47.39811439256589	1074.202605182448	-33173.87517035049
121000	-33415.18289770733	-33166.09696690342	-249.08593080391555	678.5658729112281	0.3202658696043193	77.87467293898924	32.31369278621771	50.173268227831144	1121.7501269754455	-33166.09696690342
122000	-33406.734858453325	-33159.48547729156	-247.24938116176622	530.7724039117936	0.3846313195065256	64.04417967086823	32.31369278621771	47.773618801930496	1071.4940497452358	-33159.48547729156
123000	-33422.08395889437	-33172.036419986005	-250.04753890836662	537.4141313590036	0.3846313195065256	85.08548803866948	33.98750199991141	50.08474451366092	1114.142585793714	-33172.036419986005
124000	-33418.868527587925	-33169.40353942174	-249.4649881661796	488.85859023648845	0.36577814458722774	74.59139504662286	32.939948534352105	48.41199810469644	1081.2511570359686	-33169.40353942174
125000	-33411.81730672411	-33164.96843361187	-246.84887311223315	639.1772644607564	0.40561663764753303	71.43039423100453	32.939948534352105	48.66698400505734	1092.951076009401	-33164.96843361187
126000	-33421.27987221252	-33173.6196491695	-247.6602230430231	1014.411026082785	0.4225348258164643	71.43039423100453	32.73208535827036	49.03122266295317	1091.4345067758682	-33173.6196491695
127000	-33411.206233490666	-33163.88402158537	-247.322211905298	780.3396729824435	0.4303869341362319	62.344979635383034	32.73208535827036	47.096230270623266	1074.8221502645288	-33163.88402158537
128000	-33406.62554748972	-33160.72046369345	-245.90508379627315	739.3373511919602	0.4287664467755945	61.455005218363844	31.709210119745435	47.81402211255023	1079.675027027185	-33160.72046369345
129000	-33420.79072945471	-33173.876698782464	-246.91403067224536	850.7196761748049	0.39568313680576317	76.79029670118246	31.709210119745435	48.20014179462698	1081.3567423404188	-33173.876698782464
130000	-33419.13307813844	-33169.88114936173	-249.25192877670628	596.0637610467506	0.4092450395559619	65.19883161115513	31.824888259850574	48.922742208791476	1107.1472142754944	-33169.88114936173
131000	-33415.60301806855	-33169.80918255835	-245.79383551019822	797.9883369305312	0.5345302530880716	65.19883161115513	33.70694425189348	47.2964094559774	1077.3867183723044	-33169.80918255835
132000	-33417.265391301386	-33168.5998349583	-248.66555634308338	1071.189377801718	0.36327475749187815	76.50913055774717	32.5188219790729	48.07052500213595	1109.2611083092663	-33168.5998349583
133000	-33415.87424118834	-33165.13136323429	-250.74287795405138	653.6417840298001	0.2599970981455617	69.74865696821043	29.838217239444184	49.64433740635866	1107.7215965788334	-33165.13136323429
134000	-33407.975161348346	-33161.496277800834	-246.47888354751478	859.3824841481921	0.3691567688532411	64.21355735920473	32.06165350877804	48.06226124601666	1109.320056511138	-33161.496277800834
135000	-33416.57137107349	-33167.798031316415	-248.7733397570806	812.810206778947	0.32336611186309505	61.412128421219805	31.65047187656996	48.079390186900824	1096.9825238462963	-33167.798031316415
136000	-33416.6818611178	-33168.95760581518	-247.72425530262348	791.9022223206579	0.38141386234995883	78.83643494528768	31.65047187656996	48.862380731720165	1092.6634891746692	-33168.95760581518
137000	-33404.291456425846	-33157.5011004781	-246.79035594775135	712.5814509001461	0.4272749781162069	63.36293475386175	32.89259179899173	47.60954690180436	1080.1184571905726	-33157.5011004781
138000	-33412.03275263644	-33165.18368235756	-246.84907027888693	574.3539139460121	0.3324920517920845	64.92903465465979	31.626161223461615	48.31997134440697	1105.4770104763375	-33165.18368235756
139000	-33414.11141875703	-33169.14999235931	-244.96142639771813	689.8309353765309	0.3589067938759338	64.92903465465979	31.626161223461615	48.28276671886614	1108.712709412464	-33169.14999235931
140000	-33415.12370036667	-33167.369929098466	-247.75377126820536	632.7813317218929	0.3420962756238305	66.25912425712151	33.09263316189857	48.45462730786549	1103.1121771995138	-33167.369929098466
141000	-33408.4069296036	-33161.46372126848	-246.94320833511884	696.6163881102246	0.4059108996041611	63.870585313518035	32.375380146622945	48.712715778846665	1087.3574915982658	-33161.46372126848
142000	-33412.489543246156	-33169.02477361147	-243.4647696346864	743.1579018260654	0.4443383423829126	69.24796436338505	32.41616957260798	47.49332639355069	1081.702381397589	-33169.02477361147
143000	-33407.3447984893	-33161.42329611786	-245.9215023714445	764.8794044517281	0.37470688048468975	68.77971907832102	32.41616957260798	49.51029445444307	1115.3269439808118	-33161.42329611786
144000	-33409.269065863635	-33164.806998164306	-244.4620676993284	946.158400981858	0.41952708965301116	65.8687883228305	32.36720942968044	47.67775918948249	1090.3897393417847	-33164.806998164306
145000	-33422.29384093625	-33175.99367567246	-246.30016526378895	667.6764020143311	0.5763568457941469	66.71235494598494	35.05379166130235	47.690524886604244	1091.790071397001	-33175.99367567246
146000	-33419.52907809907	-33172.59296138398	-246.93611671508785	527.9595013803752	0.42730413942117756	71.81143346834055	34.091302871145395	48.15254853893735	1101.6132167624598	-33172.59296138398
147000	-33428.24190073666	-33181.36504616319	-246.876854573469	644.9843225443911	0.38651094873266156	63.34220684667828	34.091302871145395	48.907747877801995	1119.6760738688001	-33181.36504616319
148000	-33426.038789633676	-33172.86537679635	-253.17341283732577	1025.5086945561652	0.4549590325144337	85.66699700159364	34.34757418455216	49.290888730328724	1110.0329135508666	-33172.86537679635
149000	-33406.064834211196	-33160.85961325386	-245.2052209573345	593.7736016608624	0.5197450904035331	60.698817588429456	34.34757418455216	47.49206582569329	1084.2020253343255	-33160.85961325386
150000	-33406.633897082866	-33158.734627999664	-247.89926908320396	769.4050805712903	0.505537590633333	74.23840227276506	34.34757418455216	48.57575554054695	1090.3701475979212	-33158.734627999664
151000	-33406.0663357088	-33157.56100292034	-248.50533278845654	763.6067509877806	0.5401380115283061	77.75238313894877	34.043838587499806	47.94557115091955	1083.5007097265598	-33157.56100292034
152000	-33420.144249003344	-33173.65938520993	-246.48486379341063	919.9175441264074	0.5135244160687851	64.11719500688828	32.589588880906796	47.54338509847631	1080.4116002998687	-33173.65938520993
153000	-33425.22597497153	-33179.96870224898	-245.25727272254542	919.9175441264074	0.3813422834197232	67.38668288356523	31.13167055437502	48.269895393820775	1103.4908618207419	-33179.96870224898
